"app_id";"page_id";"parent_id";"order#";"is_hidden";"is_reset";"is_shared"
770;0;"";599;"";"";""
770;100;"";100;"";"Y";""
770;900;"";900;"";"Y";"Y"
770;901;900;10;"";"Y";"Y"
770;902;901;10;"Y";"Y";"Y"
770;905;900;30;"";"Y";"Y"
770;910;900;45;"";"Y";"Y"
770;915;900;15;"";"Y";"Y"
770;920;900;20;"";"Y";"Y"
770;925;900;25;"";"Y";"Y"
770;940;900;35;"";"Y";"Y"
770;945;900;40;"";"Y";"Y"
770;947;945;10;"Y";"";""
770;950;"";950;"";"Y";"Y"
770;951;950;10;"";"Y";"Y"
770;952;950;15;"";"Y";"Y"
770;955;950;20;"";"Y";"Y"
770;960;950;25;"";"Y";"Y"
770;961;960;10;"Y";"Y";"Y"
770;965;950;30;"";"Y";"Y"
770;969;950;35;"";"Y";"Y"
770;970;900;50;"";"Y";"Y"
770;990;"";990;"";"Y";"Y"
770;991;"";890;"";"Y";"Y"
770;995;990;10;"";"Y";"Y"
770;996;900;55;"";"Y";"Y"
770;997;990;15;"";"Y";"Y"
770;9999;"";999;"";"Y";""
777;0;"";599;"";"Y";""
777;100;"";100;"";"Y";""
777;9999;"";999;"";"Y";""
780;0;"";599;"";"Y";""
780;100;"";100;"";"Y";"Y"
780;9999;"";999;"";"Y";""
